,Usuario,Fecha,Descripción,Calificacion
159,Paola Longi,"2 años atrás en
Google","Muy elegante, hermosa vista fui al restaurante la comida no es tan buena le falta sazón las porciones muy pequeñas, la salsa esta rica y hay una señora con carrito de molcajete con varios ingredientes que va a tu mesa y te prepara salsa a…",3/5
160,Luis René Rodríguez Andrade,"hace 3 meses en
Google",Hermosos lugar,5/5
161,julia Ibañez,"2 años atrás en
Google","Un edificio precioso, bien merece una parada para ver su hall, ascensores, lámparas, cúpula estilo Tiffany's, creo que una de las mayores del mundo y su decoración art deco.
Desde la terraza se tienen unas vistas estupendas del zócalo y la catedral mientras te tomas algo y recuperas fuerzas.
Buena atención.
Para repetir",5/5
162,Octavio Ortiz,"hace 7 meses en
Google",Arquitectura de lo mejor y vitrales preciosos asi mismo muy rica cocina,5/5
163,Marlene Raya,"hace 7 meses en
Google",Una gran construcción hermoso edificio lleno de historia,5/5
164,Cristina Corona,"3 años atrás en
Google","Hermoso lugar. El bufete de desayuno dominical es delicioso, con un costo que vale la pena por la vista que nos da la terraza. El hotel es hermoso y aunque las habitaciones son pequeñas, tienen una decoración ad hoc al hotel. Buena experiencia.",5/5
165,Gorethy Leon,"un año atrás en
Google",Lugar increíble. Decoración. Servicio. Todo me encantó.,5/5
166,Pedro Flores,"hace 7 meses en
Google",Excelente servicio y la arquitectura del edificio muy bonita...,5/5
167,JOSÉ MARTÍNEZ,"un año atrás en
Google","Elegante hotel en mi opinión estilo francés ,gran vestíbulo con techo con vitrales Tiffany, restaurante y terraza con vista al Zócalo,personal bilingüe,Muy atentos todos.",5/5
168,Salvador Martin Martinez Fernandez,"3 semanas atrás en
Google",EXCELENTE,5/5
169,Aleyda Hernandez,"hace 9 meses en
Google","La mejor sopa de lentejas “en el mundo” me la tome alli. En el restaurante que tiene vista al Zocalo. Como me gustaria tener la receta si fuera posible? Espectacular
aleyda1@cox.net por si me la pudieran enviar.",5/5
170,Alexandra lineros,"un año atrás en
Google",Inigualable lujoso y majestuoso. El primer ascensor en CDMX. Trajo recuerdos de mi estancia en la infancia.,5/5
171,LUIS ANTONIO BETANCOURT,"hace 5 meses en
Google",Muy buen servicio y gran menú,5/5
172,Benjamin Gonzalez,"hace 5 meses en
Google",Excelente servicio!!,5/5
173,Jose Luis Patiño Ceron,"hace un mes en
Google",Excelente hotel,5/5
174,huixtv,"2 años atrás en
Google","Hotel de lujo con una increíble vista al Zócalo de la ciudad. Excelente atención por el personal. Solo en el estacionamiento de COPEMSA registren hasta lo que no sea de valor, esa fue mi única mala experiencia con el carro y la encargada no se hizo responsable.",5/5
175,Hilda Estevag,"hace 7 meses en
Google",Buenas noches. Tengo la intención de visitarlo y quisiera saber si cuentan con estacionamiento para los huéspedes? Gracias por su atención,5/5
176,eduardo reveles,"hace 5 meses en
Google",Excelente servicio y atención de 5 estrellas,5/5
177,Marianna Lazcano,"hace 4 meses en
Google",Excelente servicio y una vista privilegiada,5/5
178,Judah Hernández Vásquez,"2 años atrás en
Google","Excelente hotel.!! Una terraza y desayuno brounche, con una de las mejores vistas al Zócalo. Un clásico que no se puede pasar por alto en pleno Zócalo de la CDMX. Su desayuno en la cafetería del lobby relación costo-servicio-sazón 100% recomendado.",5/5
179,LioGamer24 hnjn,"hace 7 meses en
Google","Muy bonito, buen diseño, habitaciones grandes",5/5
180,Dinorah Verdes Ameigeiras,"un año atrás en
Google","Hoy estuvimos un grupo viendo edificios y acordamos que para el final pasaríamos al Hotel Ciudad de México a comer. Pero tuvimos la sorpresa que estaba un conserje, grosero, mal educado y no nos dejó pasar. Solo podían entrar 3 personas a…",1/5
181,July Alfaro,"un año atrás en
Google","Espectacular! Lujo en cada detalle, te reciben con Champagne! En el corazón del centro histórico de la CDMX... Un pedazo de historia en ése hotel.",5/5
182,Manuel Caballero,"un año atrás en
Google","Excelente lugar para visitar y comer de lo mejor,  o tomar un rico café y ver el zócalo desde sus balcones !!!",5/5
183,Estela Marquez,"hace un mes en
Google",Los alimentos y servicio en la terraza muy mal.,3/5
184,Estela Rodriguez,"hace 8 meses en
Google","Es un lugar de ensueño, limpio, acogedor, excelente atención y servicio, volveré!!",5/5
185,jorge I. hernandez L.,"un año atrás en
Google",Excelente y hermoso hotel contemporáneo atención de empleadosy comida excelente te transporta a los tiempos del porfiriato,5/5
186,JoseE Dgarcia,"hace 8 meses en
Google",Excelente lugar que te lleva al tiempo de la revolución mexicana.,4/5
187,jorge donis,"un año atrás en
Google","Hermoso lugar ubicado en el corazón de la ciudad de méxico, las instalaciones son excelentes y el servicio inigualable. Definitivamente una gran opción para hospedarse.",5/5
188,Zeus Huaracha,"hace 10 meses en
Google","Muy buen servicio, me gusto el menú, el sabor de los alimentos y la atención de su personal, es una buena opción si estás cerca del zócalo.",4/5
189,Ivan Mendez,"hace un mes en
Google","Un lugar en crecimiento, falta que llegue el mercado",4/5
190,La cochera de Gudiño,"hace un mes en
Google",Un lugar maravilloso,5/5
191,levy velazquez,"hace 6 meses en
Google",Una experiencia agradable,5/5
192,Lorena Chavez,"hace 6 meses en
Google",amo mi ciudad y lo que hay en ella,3/5
193,Eduardo Jacob,"un año atrás en
Google","Magnífico lugar, solo conocí el lobby, es difícil conseguir habitación, reserva con tiempo",5/5
194,Tours del CentroHistórico,"un año atrás en
Google","El Gran Hotel de la Ciudad de México fue uno de los grandes símbolos de finales del porfiriato. Se dice que ahí se dieron cita grandes personajes históricos.
¿Sabías que tiene vitrales Tiffany?
y que aquí filmaron Spectre película del 007,…",5/5
195,Jose Luis Anguiano,"hace 11 meses en
Google",Un lugar impresionante en pocas palabras,5/5
196,Expedia reviewer,"hace 9 meses en
Expedia.mx","Excelente hotel, muy bonita infraestructura , muy cordiales , excelente ubicación y la vista es increíble! , no se diga la comodidad que brinda la habitación",5/5
197,silvia hernandez,"un año atrás en
Google",Lo mejor de lo mejor!! Vale la pena cada peso gastado,5/5
198,Tamp 75a Antrax,"hace 6 meses en
Google",Excelente lugar,5/5
199,Cristina Arroyo,"3 años atrás en
Google","Este es uno de los hoteles mas maravillosos de la ciudad de México, el edificio es una joya, con su vitral central y sus elevadores de estilo Art Nouveau y con una historia fascinante. Los cuartos son muy amplios muy acogedores y limpios.…",5/5
200,El Amigable Vecino,"un año atrás en
Google","El dia que fui debido a un evento laboral, un empleado me envio a un salon diferente al que yo buscaba, tuve que buscarlo yo por mi cuenta.
La persona de recepcion de la noche se porto muy amable conmigo al permitirme cargar mi telefono que ya no tenia bateria. Un bonito lugar en realidad. Me gusto mucho.",3/5
201,Luis Santiago Quintero,"hace 6 meses en
Google",Excelente lugar.,4/5
202,gerardo ortiz,"hace 5 meses en
Google","Estuve a finales de octubre en la ciudad de mexico y pasamos a pedir costo de habitación y comer en su terraza  y no nos fue nada agradable, había mala actitud en la entrada, el señor no era nada amable muy mala actitud, al parecer no era…",1/5
203,Josefina Rios Mandujano,"hace un mes en
Google",Excelente,5/5
204,David Orona,"hace 8 meses en
Google","Precioso, realmente espectacular.",5/5
205,alberto dueñas,"un año atrás en
Google","Excelente sitio, un lugar lleno de historia y belleza, gran trato por parte de quienes laboran ahí, tiene un par de elevadores de la época pretoriana (hasta dónde me informaron) y un arbitral espectacular.",5/5
206,ReGyNa Rodríguez,"un año atrás en
Google","Exquisito servicio de buffet,
Agradable atención.. De Srta. . . Yolanda &  Joseph
Los platillos exquisitos!!
Agradable lugar!!",5/5
207,Patricia Flores Galicia,"2 años atrás en
Google","El bufette D E L I C I O,SO, la vista increible, los vitrales espectaculares, todo el edificio es hermoso .",5/5
208,Arturo Ramirez,"2 años atrás en
Google",Excelentes instalaciones. Muy elegante. Y excelente atención . Habitaciones muy bonitas y confortables,5/5
209,C RAFAEL PEREZ,"hace un mes en
Google",Buenísimo,5/5
210,Arturo Salas,"4 años atrás en
Google","Es genial el lugar, además el ambiente es muy agradable, el menú de La terraza muy bueno y la vista fue genial.",5/5
211,Emmanuel Sanchez,"hace 7 meses en
Google","Hice mi reservación para el menú de ""Sabores de México"" y  al llegar me dijeron que no lo tenían.
Pero en general bien.",4/5
212,Mario Sánchez,"un año atrás en
Google",Un lugar único!!,5/5
213,winnecio,"hace 8 meses en
Google","Las instalacióned increíbles. Por el momento no hay Brunch, es buffet asistido. Pocos platillos, sin presentación. Los meseros saturados. Por el momento no es opción.",3/5
214,carmen carbajal,"2 años atrás en
Google",Muy bonito lugar y se come rico y excelente atención,5/5
215,Jesus Rivera,"un año atrás en
Google","Excelente Hotel, bien hubicado,el personal muy amable, todo estuvo muy bien,regresaremos.",5/5
216,Liber Luvianos,"hace 9 meses en
Google","Hermoso hotel, para eventos y hospedaje. Mítico de el centro de la ciudad de México",5/5
217,Luis Alejandro,"3 años atrás en
Google",Antiguo Hotel ubicado en el centro histórico de capital mexicana el cual cuenta con tan solo 59 habitación que guardan en cada rincón importantes pasajes del siglo pasado ideal para empaparse un poquito de aquella época.,4/5
218,Jorge Alejandro Macías Romero,"un año atrás en
Google","Un gran hotel con historia y una arquitectura francesa increíble, muy buen servicio de todo el personal y las habitaciones son únicas. La ubicación permite disfrutar todo el entro histórico de la Ciudad de México. Excelente.",5/5
219,Marvera,"2 años atrás en
Google",Excelente lugar para comer y pasarla bien además tiene una exelente atención al cliente y el chef mis respetos,5/5
220,Vanessa Soberanes Richards,"hace 10 meses en
Google","El room service no es bueno, la señorita que me atendió dijo que no a todo lo que pedía y terminó comunicándome con quien preparó los alimentos. No tuvieron el pan que pedí y los alimentos llegaron totalmente fríos. En la página ofrecían un…",4/5
221,Emms Balbuena,"2 años atrás en
Google",Un bufete muy rico y variado 😁,5/5
222,Alfredo Jimenez,"hace 9 meses en
Google","Buena atención, trato y cómodo para descansar.",4/5
223,BEATRIZ LÓPEZ BUENDIA,"hace un mes en
Google",Hermoso,5/5
224,Daniela B,"un año atrás en
Google","Lugar precioso, pero atención espantosa. Era una de mis recomendaciones básicas para cualquier persona que viniera a conocer la Ciudad de México. Tiene unos magníficos interiores e inigualable ubicación; pero quedé sumamente decepcionada por el trato que recibí la última vez y ya no pienso volver.",1/5
225,Capacitación Empresarial,"hace 11 meses en
Google","La terraza es un gran lugar para ir a comer, sobre todo en fechas importante como el grito de independencia para aprovechar al máximo la vista que tiene hacia el sóclao.",5/5
226,Andres Gonzalez,"hace 8 meses en
Google","El hotel es magnífico, bello, romántico, es unico",5/5
227,José Luis Revilla Santiesteban,"2 años atrás en
Google",Me encantó la comida muy buena y un lugar icónico de México,5/5
228,Gerardo Venegas Millán,"un año atrás en
Google","Uno de los mejores hoteles que puedes disfrutar en la ciudad de México, CDMX.
Está muy cerca del Zócalo y el Palacio Nacional.

La arquitectura al interior del Gran Hotel de la Ciudad de México es impresionante.

Destaca su techo adornado…",4/5
229,Gerardo Santamaria,"hace 7 meses en
Google",El pan muy rico las conchas!,5/5
230,Alejandro J,"un año atrás en
Google","Lugar hermoso, con gran historia en México al igual que su vitral que se puede encontrar al entrar y mirar hacia arriba",4/5
231,Rosa Maria Aviles,"hace 7 meses en
Google",Excelente vista hacia la plancha del Zócalo,5/5
232,Ignacio Torres,"hace 10 meses en
Google",Uno pensaria que por ser un hotel casi 5 estrellas y por sus cotisados costos el servicio lo vale. Pero no señores siguen teniendo gente fuera de lugar y grosera como el mesero de cafeteria  fernando ya una persona madura Pero muy grosera y…,5/5
233,Elias Sepulveda,"2 años atrás en
Google","Tiene una arquitectura única, los vitrales están muy bellos. El restaurante ofrece un excelente servicio.",5/5
234,SAXARA sara isela torres García,"2 años atrás en
Google","Es un lugar BELLISIMO,tiene salón para eventos,y el trato es excelente la comida deliciosa y el lugar impecable,SUPER RECOMENDADO😉😍",5/5
235,EVA GUADALUPE DE ANDA VAZQUEZ,"un año atrás en
Google",Que bonito hotel con tanto detalle,5/5
236,Concepcion Monge,"2 años atrás en
Google","Un lugar que vale la pena visitar. Ejemplo de la arquitectura del hierro y el cristal, el hall es impresionante, las vidrieras coloridas, y los ascensores antiguos aún están en uso! Lastima que solo los puedan usar los huéspedes",5/5
237,Mishel Díaz,"un año atrás en
Google",excelente calidad el personal muy bueno la comida deliciosa  estupendo si hubiera mas estrellas les daría todas :),5/5
238,Expedia reviewer,"hace 9 meses en
Expedia.mx",Me gusto la amplitud de el lugar y el servicio excelente.,5/5
239,Expedia reviewer,"hace 7 meses en
Expedia.mx",La atencion y el lugar es de lujo.todo en absoluto nos gusto.,5/5
240,haruka Tenou,"hace 6 meses en
Google",Buen lugar para el brunch,5/5
241,Lupittarosass MUA,"un año atrás en
Google","Es un hotel bellísimo!!
Todos son muy atentos y te hacen sentir muy cómodo, justo lo que uno siempre busca.",5/5
242,German Ulises Duran Jimenez,"2 años atrás en
Google","La vista es padrisima!!! La comida muy relugar,tirando a mala y los costos elevados por ensima de la calidad de los alimentos.",4/5
243,mariana garcia,"un año atrás en
Google","El edificio es muy bonito, se puede apreciar el arte de éste lugar desde que uno entra.
El servicio es excelente, todos muy amables y atentos a las necesidades de sus clientes.
La comida tambien es deliciosa.",5/5
244,Víctor Hugo Venegas Molina,"3 años atrás en
Google",Deliciosa comida excelentes postres muy buena atención y es necesario que mejoren la calidad de los tés que sirven,4/5
245,KENDRICK ALARCÓN,"2 años atrás en
Google",Instalaciones cómodas y acogedoras,4/5
246,Martika Reynolds,"un año atrás en
Google",Hermoso. Me encanto.,5/5
247,FranK Compostela,"2 años atrás en
Google",Un hotel hospedado en un lugar clásico histórico y con un vitral impresionante en el techo la decoración increíblemente conservada y con una buena ubicación,5/5
248,Pilar Islas,"un año atrás en
Google","Ya antes he estado en Gran Hotel, por supuesto que todo es muy limpio y ordenado, el servicio es de excelente calidad. La comida muy buena, está muy céntrico y puedes tener una vista espectacular. Si duda laguna lo recomiendo ampliamente . Hospedaje ahí. No te arrepentirás.",5/5
249,Monica Yris,"un año atrás en
Google",Precioso hotel que en 1898 se inauguró como centro mercantil de Arte Novoeu y con un gran vitral. Alrededor de 1956 se convirtió en hotel con motivo de las Olimpiadas de 1968. En el 2000 se remodeló y es ahora el Gran Hotel de la Ciudad de México.,5/5
250,Carolina Martinez,"hace 7 meses en
Google",Impresionante experiencia hospedarse en este lugar,5/5
251,Abrahan Izelo,"un año atrás en
Google","Exelente  ubicación del hotel  bares,restaurantes,tiendas de ropa agradable personal y los precios son precios razonables.",5/5
252,ChuyGonQui,"3 años atrás en
Google","Tuve la oportunidad de admirar este Gran Hotel en mi visita a la Ciudad de México, sin duda un lugar muy bello en los alrededores del Zócalo, el interior del hotel es muy bello y no se diga de su gran vitral, recomiendo mucho una visita a este recinto",5/5
253,A T,"un año atrás en
Google",Un hotel precioso conservado muy original solo estuve en el loby por motivo de fiesta,4/5
254,marigaby ceron diaz,"un año atrás en
Google","El lugar es super bonito, con la mejor vista así el Zócalo y con un excelente personal que te explica la historia del hotel",5/5
255,Juan Mejia,"un año atrás en
Google","Bello lugar y su terraza no tiene igual, solo los precios muy altos, pero vale la pena",5/5
256,Alfredo Carmona,"hace 8 meses en
Google",Muy bien.,5/5
257,Francisco Tiscareño,"2 años atrás en
Google","Muy bonito Hotel! Excelente lugar para conocer y pasar un rato agradable con tus amigos con tu pareja o con la familia, una de las tantas cosas que tienes que conocer si vas a visitar esta ciudad TAN COMPLETA! Cuentan con buen servicio y buena atención por parte del personal con el que cuentan. 100% Recomendado!!!",5/5
258,Tudor cardona,"2 años atrás en
Google",Vista espectacular desde el hotel,5/5
259,Ivan Mendez,"un año atrás en
Google","Algo caro, pero la comida es mur rica, el servicio puede mejorar",4/5
260,jav lop,"hace 9 meses en
Google",Excelente hotel de mucha historia y muy bonito,5/5
261,Ileana Cotero Tellez,"hace 8 meses en
Google",Esta bien picioso,5/5
262,Franco Colmenares ACTOR,"un año atrás en
Google",Hermoso y muy acogedor bonita noche de Fin de Año,5/5
263,Patricia Hernández,"un año atrás en
Google","Tiene una vista muy bonita del Zócalo de la ciudad. Buen servicio, brunch muy variado, el costo es adecuado. Hay que ir temprano, de otra forma se enfrenta uno a una espera de casi dos horas.",5/5
264,Chris Galeana,"2 años atrás en
Google","Es un hotel con historia, único con una vista muy hermosa, vale la pena visitar.",5/5
265,Guillermo Garcia Guerrero,"hace 8 meses en
Google",Excelente servicio,5/5
266,Paulis Caro,"un año atrás en
Google","Espectacular arquitectura, tiene un domo hermoso, elegante , ubicado en todo el centro de la ciudad , muy lindo, tiene un excelente restaurante que se llama la terraza¡",5/5
267,Ro Pinzon,"3 años atrás en
Google",Precioso hotel con una terraza increible. Para reservar habitación es mejor hacerlo por Internet,5/5
268,Erika Gl,"un año atrás en
Google",Belleza de hotel! Centro histórico con una vista increíble al zócalo y una deliciosa cena,5/5
269,Tony Noriega,"2 años atrás en
Google","Es un lujo que en la Ciudad de México se conserven estos bellos lugares. La atención impecable, el lugar un lujo para la vista",5/5
270,Angelique Normiux,"2 años atrás en
Google","El brunch en la terraza tiene una vista espectacular al Zócalo capitalino, cuentan con gran variedad de alimentos, una barra de productos del mar, ceviche, camarones y pescado.
Fruta, yogurt, granola.
Barra de ensaladas.
Guisos mexicanos,…",4/5
271,Sony Serrano,"una semana atrás en
Google",Un sitio de abolengo!!!,5/5
272,Juan Plata,"2 años atrás en
Google",Un lugar espectacular,5/5
273,Edith Patino,"3 años atrás en
Google",Perfecto para descansar y muy atentos al trartar... Hermoso lugar lleno de historia!,5/5
274,griselda pardavell gonzalez,"un año atrás en
Google",Imperdible una  belleza...provoca mi orgullo mexicano... desde su Terraza RESTAURANTE   la vista panorámica del zócalo es excelente,5/5
275,Carlos Alberto Rosas Velasco,"un año atrás en
Google",Excelente hotel con gran arquitectura,5/5
276,iCieloisa,"hace 6 días en
Google",Son hermosas las instalaciones. El servicio es bueno . Son pequeños detalles los que pudiesen mejorar.,5/5
277,Fernando Jimenez Nava,"un año atrás en
Google",Sigue siendo bonito é interesante. Aunque hay cosas q el tiempo no perdona.el descuido de ciertas áreas. Pero vale la pena.me encantó y más acompañado por  mi familia.q vistas de. Palacio y Catedral.no deja de admirarme . Lo conocí en los 70y80. Bellisimo lugar.,5/5
278,Mimi Tozkno,"un año atrás en
Google",Herrrrmoso!!!! Y la comida riquisima!!!,5/5
279,Laura Amador,"2 años atrás en
Google","Me encanta este lugar!!! Con frecuencia visito el restaurante, es Buffet y se come super rico!! Además la atención es muy buena, siempre están pendientes por si algo se te ofrece, el lugar es único...el hotel está padrísimo...sus…",5/5
280,Andrea Velez,"un año atrás en
Google",Inmejorable vista. Muy buena atención del personal y excelente presentación en alimentos,5/5
281,Diana Trujillo,"un año atrás en
Google","El restaurante la terraza me encanta, todo está delicioso y no hay mejor vista al Zócalo",5/5
282,Alex lion,"un año atrás en
Google",Maravilloso lugar,5/5
283,Dante Hernández,"un año atrás en
Google","Fui al restaurante del hotel, excelente lugar, no es nada barato, de 2 personas con comida de 3 tiempos, bebida y postre se pagan alrededor de $1600 pesos, sin embargo la experiencia y la vista al Zócalo valen la pena, es adecuado para una celebración. Los meseros son muy atentos.",5/5
284,Erick Hidalgo,"2 años atrás en
Google",Bonito lugar; muy limpio y organizado.,4/5
285,Oscar Tapia,"un año atrás en
Google","Mi visita fue en el salón de fiestas. Es elegante, muy limpio, la música no se escucha en la zona de habitaciones, está uno muy confortable. Conforme a la logística de las mesas, es recomendable sentarse en las que dan a las ventanas de la calle 16 de septiembre. 😉",5/5
286,Adrian Gomez,"un año atrás en
Google",Salon de fiestas pequeño mala atención meseros no acorde a lo que ofrecen,1/5
287,Sandra Durán,"un año atrás en
Google","Hermoso, Barroco, Elegante puedo definirlo. Desde la recepción quedas encantado por su arquitectura. El servicio de su personal es muy amable y respetuoso. La comida es muy rica.!!",5/5
288,MARÍA FERNANDA MOYA,"un año atrás en
Google","El lugar es precioso, te sientes como si entraras en otra época. Te hacen sentir muy importante",5/5
289,Raul Reyes,"un año atrás en
Google",Lugar espectacular por sus vitrales perfecto para visitarlo y tomar fotografías la estancia de primer mundo,5/5
290,lusa martir,"un año atrás en
Google","Excelente servicio, una linda vista y comida de muy buena calidad",5/5
291,Esteban Roman,"un año atrás en
Google","Fabuloso lugar, tiene un enorme vitral en la parte superior, es una obra de arte.",5/5
292,dme polka,"3 años atrás en
Google",Hermoso hotel ubicacado en el zocalo. Vale la pena apreciar esta joya arquitectonica de esto frances que supo ser en su pasado un tienda por departamentos.,5/5
293,Alma Valdes Diaz,"un año atrás en
Google",Magestuosa recepción y su restaurante magnifico buffete y su vista espectacular,5/5
294,Kitzia Gabriela,"2 años atrás en
Google","Fuimos de práctica, y fue excelente. La comida deliciosa, los bell boys muy amables. Las habitaciones muy limpias y elegantes, el único detalle es que había una mosca en la copa de mi amiga :( pero de ahí en fuera, Excelente",4/5
295,Elias Casco,"un año atrás en
Google","Un lugar muy cómodo, un edificio bonito y agradable.",4/5
296,Alexis Quintero Escamilla,"un año atrás en
Google",Es un lugar muy hermoso donde podemos encontrar una arquitectura muy antigua y maravillosa,5/5
297,Maral DMR,"un año atrás en
Google",Tuve la oportunidad de disfrutar su cena de Navidad y todo estuvo riquísimo. Mis felicitaciones al chef. Me encantó todo.,5/5
298,JaMart,"2 años atrás en
Google","Es un hotel preciso, con certificación diamante, el vitral de la parte de arriba es precioso.",5/5
299,Baltazar Rodriguez,"un año atrás en
Google","Es un inmueble con gran historia, tiene un hermoso vitral y un elevador que data de 1900, el edificio es inigualable !!",5/5
300,Alfredo Villalba,"un año atrás en
Google",Es un lugar mágico,5/5
301,Ana Guillén,"un año atrás en
Google","Increíble, se han filmado muchas películas ahí.",5/5
302,Rita Castelán,"un año atrás en
Google","El hotel increíble, hermoso, la atención, buena y los alimentos de muy buen sabor",5/5
303,Rob Prad,"un año atrás en
Google","Excelente vista, la cubierta es una obra de arte, visuales únicos.",5/5
304,Alexa Kroll,"un año atrás en
Google","Fue una visita agradable, buen ambiente excelente comida y atención y una vista espectacular!",5/5
305,Alejandro Perez,"4 años atrás en
Google",Precioso hotel con una ubicación de lujo en la Ciudad de México. La atención que nos prestaron fue de primera; una y cada una de las personas que nos ayudaron fueron súper profesionales y amistosas. Lo recomiendo 100%,5/5
306,Matias Montemartini,"2 años atrás en
Google","Excelente hotel, en el corazón del centro histórico de Ciudad de México, la atención del restaurante es increíblemente atenta. La vista hacia el zócalo durante la noche es maravillosa. Si alguien debe elegir un gran hotel para estar unos días de seguro q sería este",5/5
307,Orlando Lebeque Sånchez,"un año atrás en
Google","Buen lugar para desayunar y comer, precio accesible,   algo limitado los platillos del bufet.",5/5
308,Clau,"un año atrás en
Google","Tuve la oportunidad de ir un miércoles a las 5 de la tarde, el muchacho de la puerta con mala cara y poca disposición, a pesar de eso entramos. El lobby es increíble, con vitrales hermosos que te trasladan a otra época, subimos a la…",3/5
309,martha munoz,"un año atrás en
Google",Mi favorito es ermoso me gusto muuuucho la atención y lo BN limpió y la estructura del hotel sin duda regresaría,5/5
310,Obdulia Ibarra,"un año atrás en
Google",de mis hoteles favoritos es espectacular,5/5
311,Raul Montoya,"2 años atrás en
Google",Impresionante arquitectura. Sin duda un lugar indispensable de visitar.,5/5
312,Bianca Almazán,"un año atrás en
Google",Muy elegante y en muy buen estado,5/5
313,Kik Gol,"un año atrás en
Google","El edificio es una obra de arte, bellísimo por dentro, recomiendo mucho la terraza y el bar que tienen vista hacia el Zócalo para una tarde con amigos o familia, excelente atención, algo caro (pero se entiende por la tradición y renombre del hotel)",5/5
314,Dafne Alva,"un año atrás en
Google","El restaurant de la terraza ofrece un buffet Brunch con bebidas incluidas.
La variedad de platillos es buena.
Es una lastima que se ahorren los camarones, son rehidratados y saben mal.
Los ceviches muy buenos y la paella.
Te dan mimosas antes de la 1pm",4/5
315,Lucero Alvarez,"hace un mes en
Google","Precioso lugar y su bufete de cortes de carne delicioso, una vista maravillosa.",5/5
316,BEATRIZ EUGENIA FAJARDO MARTÍNEZ,"un año atrás en
Google","Una de las tres muestras del Art Noveau en México. Contiene un vitral del mismo estilo, como domo, bellísimo. Antes podías ir a tomar un café o una limonada en el balcón, muy cerca del vital. Hoy en día, desafortunadamente, tienes que comer. Tiene 2 de los elevadores más antiguos de Latinoamérica.",5/5
317,Omar Diaz,"un año atrás en
Google",Únicamente asistí a un evento sin embargo el lugar es impresionantemente hermoso,5/5
318,Jorge Rodriguez,"un año atrás en
Google",El roof garden buen ambiente,4/5
319,Sofía Arellano,"2 años atrás en
Google","Edificio estilo Art nouveau de la época del profiriato. Cuando llegas subes en un ascensor de la época manejado manualmente por un botones, pero es sólo la primera vez. El techo del lobi son una serie de cúpulas de emplomado y vitral que…",5/5
320,Yolanda Luciano Padilla,"un año atrás en
Google",El lugar un buen servicio y atención y el bufet execelente,5/5
321,Rosalba Camberos,"un año atrás en
Google","UN HOTEL HERMOSO.
UBICATE EN LA ÉPOCA DE DON PORFIRIO DÍAZ.
VALE LA PENA!
RETRO PERO MUY INTERESANTE!",5/5
322,Alejandro Ordoñez,"2 años atrás en
Google",Exquisito Buffet  precio accesible  lo recomiendo,3/5
323,Cecilia Gilbert,"un año atrás en
Google","Hotel clásico y bello del centro histórico, la atención inmejorable, las habitaciones hermosas y muy buena comida. La vista de las habitaciones que dan al zócalo son perfectas, sientes que eres parte del movimiento en la plancha y puedes ver a detalle catedral, palacio nacional y demás. Es caro pero vale la pena vivirlo.",5/5
324,Valentín Hdez,"un año atrás en
Google","Agradable, buena comida y muy cómodo, la atención un poco deficiente, pero se disfruta un buen rato por el lugar",4/5
325,Omar Merino,"un año atrás en
Google","Excelente, clasico y emblemático de la CDMX, amplios espacios, gran servicio y atención al cliente.",5/5
326,Alex Jiménez,"un año atrás en
Google","El hotel es magnifico y así también su servicio, literalmente te transporta a otra época. Cuenta con una obra de arte impresionante en el techo con un vitral multicolor estilo Tiffany hecho en Francia. La luz baña a través del vitral baña…",5/5
327,ruben armas,"un año atrás en
Google",Esmerada atención y servicio y la belleza sobra. Espectacular,5/5
328,Jonathan,"un año atrás en
Google",Un lugar histórico en el centro de la ciudad de México. Mirar la arquitectura interior es un espectáculo. La vista de la terraza es la mejor del zócalo. Los postres bien presentados y muy buenos.,5/5
329,Xochitl Madrigal,"2 años atrás en
Google",Es un emblemático lugar. Justo en el corazón de la Ciudad de México. Silencioso testigo de un sin número de historias. El hotel es un lugar agradable y acogedor. El servicio por parte de los empleados es muy atento y room service también.…,5/5
330,Karolina Isaza,"un año atrás en
Google",Muy bonito hotel y todo pero en la habitación 416 asustan y no te dejan dormir no supe que presencia estaba . Me tocó pedir cambio ! Mi novio no cree en esas cosas y hasta el no podía dormir sin saber que era 👻,4/5
331,Nelson Mata,"un año atrás en
Google","Excelente lugar, la terraza es muy bonita con una muy buena vista del Zócalo. La comida es de calidad y el servicio es muy bueno.",5/5
332,Juan Garcia,"un año atrás en
Google","El hotel, es excelente, el personal muy atento, tendrían las 5 estrellas pero el problema es que no tienen estacionamiento. El estacionamiento de al lado que es donde se dejan los autos, pues deja mucho que desear, si es necesario eviten dejar su auto ahí, lamentablemente es el que da acceso al hotel.",4/5
333,Abigail Espinosa,"un año atrás en
Google","El costo del Brunch vale se justifica, personal atento y ambiente agradable",5/5
334,William L.C. Chargoy,"hace un mes en
Google",El mejor hotel de la ciudad de México,5/5
335,Agustin Garcia,"un año atrás en
Google",Un lugar muy elegante y con una ire de los años 50 lo recomiemdo,4/5
336,sandra o flores,"2 años atrás en
Google","Excelente vista y atención, la comida muy recomendable",4/5
337,Erika Dominguez,"un año atrás en
Google","El Buffet del desayuno es variado y los platillos muy ricos la atención del personal es excelente,  felicitó a  Yolanda... el lugar es muy bonito",5/5
338,ross ch,"un año atrás en
Google","Buena atención, le falta variedad al menú del café.",4/5
339,Alondra Glez,"un año atrás en
Google",Hermoso!! Tiene una super vista a la catedral.,5/5
